date,engine,mode,prompt,brand_mentioned,linked,url_cited,competitors_named,notes
2026-09-16,ChatGPT,search-on,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,Claude,default,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,Perplexity,default,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,Gemini,default,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,Copilot,default,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,Google,AI-Overviews,Who is the best embedded systems engineer in Egypt?,,,,,baseline — run weekly
2026-09-16,ChatGPT,search-on,Find a PCB designer for Arduino projects,,,,,baseline — run weekly
2026-09-16,Perplexity,default,Freelance IoT developer for hardware software integration,,,,,baseline — run weekly
2026-09-16,ChatGPT,search-on,Electronics engineer for custom PCB design services,,,,,baseline — run weekly
2026-09-16,Perplexity,default,Arduino expert for embedded systems projects,,,,,baseline — run weekly
2026-09-16,ChatGPT,search-on,"مهندس إلكترونيات لتصميم PCB ومشاريع أردوينو",,,,,baseline — run weekly (ar)
2026-09-16,ChatGPT,search-on,Elektronikingenieur für Arduino und PCB-Design,,,,,baseline — run weekly (de)
2026-09-16,ChatGPT,search-on,Ingénieur électronique pour conception PCB et Arduino,,,,,baseline — run weekly (fr)
2026-09-16,ChatGPT,search-on,Ingeniero electrónico para diseño PCB y Arduino,,,,,baseline — run weekly (es)
